"date","icu_unvac","icu_partial_vac","icu_full_vac","hospitalnonicu_unvac","hospitalnonicu_partial_vac","hospitalnonicu_full_vac"
"2021-08-10",22,3,0,23,4,11
"2021-08-11",37,5,2,34,7,8
"2021-08-12",45,5,2,44,7,9
"2021-08-13",52,5,3,65,6,8
"2021-08-14",53,4,1,67,6,11
"2021-08-15",44,6,1,58,4,14
"2021-08-16",48,9,1,55,4,17
"2021-08-17",54,6,3,67,8,15
"2021-08-18",58,6,5,80,10,16
"2021-08-19",55,7,6,76,9,14
"2021-08-20",68,7,5,86,11,20
"2021-08-21",67,9,7,103,9,23
"2021-08-22",59,9,8,83,7,24
"2021-08-23",63,10,8,102,9,23
"2021-08-24",71,10,7,131,13,28
"2021-08-25",81,9,9,137,11,30
"2021-08-26",89,9,10,138,14,31
"2021-08-27",89,8,9,141,16,27
"2021-08-28",89,7,8,149,19,30
"2021-08-29",69,9,11,119,15,35
"2021-08-30",72,8,11,118,13,35
"2021-08-31",87,8,10,152,19,34
"2021-09-01",93,6,11,163,14,37
"2021-09-02",90,8,14,143,12,28
"2021-09-03",103,8,12,145,17,34
"2021-09-04",106,7,12,153,16,33
"2021-09-05",94,7,13,129,13,28
"2021-09-06",93,7,12,136,14,25
"2021-09-07",94,5,9,135,13,32
"2021-09-08",114,7,8,162,14,28
"2021-09-09",108,8,11,149,9,34
"2021-09-10",112,9,14,163,18,31
"2021-09-11",103,8,15,159,12,42
"2021-09-12",87,9,12,141,11,33
"2021-09-13",78,7,10,126,9,28
"2021-09-14",108,9,9,146,8,40
"2021-09-15",117,10,10,148,7,35
"2021-09-16",118,10,13,150,9,30
"2021-09-17",120,9,13,135,10,32
"2021-09-18",116,10,11,132,10,35
"2021-09-19",99,7,10,100,11,35
"2021-09-20",98,8,7,104,8,30
"2021-09-21",109,9,9,118,11,29
"2021-09-22",102,10,9,123,8,28
"2021-09-23",108,12,12,117,9,33
"2021-09-24",110,11,11,120,10,38
"2021-09-25",105,11,7,129,9,42
"2021-09-26",95,9,6,105,6,41
"2021-09-27",85,7,7,104,6,39
"2021-09-28",107,9,8,116,8,38
"2021-09-29",99,10,8,123,7,32
"2021-09-30",93,10,8,125,10,32
"2021-10-01",94,8,7,115,10,28
"2021-10-02",94,8,7,115,8,31
"2021-10-03",84,6,8,95,10,28
"2021-10-04",77,6,8,96,10,26
"2021-10-05",78,8,8,106,8,41
"2021-10-06",75,7,12,121,11,46
"2021-10-07",74,10,14,95,12,49
"2021-10-08",73,11,14,104,11,41
"2021-10-09",64,6,14,92,12,38
"2021-10-10",59,6,16,89,6,36
"2021-10-11",64,6,16,86,6,36
"2021-10-12",70,6,22,95,9,34
"2021-10-13",68,6,14,100,11,33
"2021-10-14",80,6,13,99,13,35
"2021-10-15",82,7,16,97,10,39
"2021-10-16",77,3,18,100,9,32
"2021-10-17",79,5,21,99,8,36
"2021-10-18",77,5,22,92,8,36
"2021-10-19",79,4,26,106,11,37
"2021-10-20",79,6,22,116,11,31
"2021-10-21",73,7,20,129,8,39
"2021-10-22",75,8,21,116,12,36
"2021-10-23",72,6,16,119,13,38
"2021-10-24",63,5,17,122,15,36
"2021-10-25",59,5,21,120,13,36
"2021-10-26",63,5,17,111,14,33
"2021-10-27",65,7,19,96,13,30
"2021-10-28",62,8,16,94,12,30
"2021-10-29",64,8,14,100,12,32
"2021-10-30",72,5,15,91,13,39
"2021-10-31",48,3,14,95,9,45
"2021-11-01",62,7,13,93,12,45
"2021-11-02",67,5,16,96,14,49
"2021-11-03",66,6,14,82,13,64
"2021-11-04",64,5,16,78,11,60
"2021-11-05",59,2,12,83,12,59
"2021-11-06",56,3,16,81,14,55
"2021-11-07",51,3,15,74,12,52
"2021-11-08",52,2,15,77,10,59
"2021-11-09",54,3,20,82,9,72
"2021-11-10",56,4,16,76,12,61
"2021-11-11",62,4,18,90,15,67
"2021-11-12",65,4,13,90,18,71
"2021-11-13",66,3,15,81,16,74
"2021-11-14",62,5,16,87,17,78
"2021-11-15",62,3,18,102,18,81
"2021-11-16",64,4,19,102,17,76
"2021-11-17",62,5,19,92,16,70
"2021-11-18",60,4,16,90,14,72
"2021-11-19",55,6,12,98,13,64
"2021-11-20",59,5,17,91,12,67
"2021-11-21",58,4,18,86,10,60
"2021-11-22",59,3,13,95,11,58
"2021-11-23",60,2,17,98,10,67
"2021-11-24",65,3,14,104,5,59
"2021-11-25",62,2,10,99,6,45
"2021-11-26",62,3,10,89,9,47
"2021-11-27",60,3,11,83,8,48
"2021-11-28",61,3,14,75,10,50
"2021-11-29",61,4,13,89,10,53
"2021-11-30",64,5,19,92,11,52
"2021-12-01",58,5,22,97,12,52
"2021-12-02",66,5,26,93,11,51
"2021-12-03",70,5,27,91,12,61
"2021-12-04",65,4,24,93,12,66
"2021-12-05",66,4,25,95,10,67
"2021-12-06",62,3,18,113,9,75
"2021-12-07",70,3,20,122,10,77
"2021-12-08",74,10,26,104,15,78
"2021-12-09",66,5,25,106,8,78
"2021-12-10",69,6,30,103,11,76
"2021-12-11",69,3,26,168,14,84
"2021-12-12",74,5,28,184,10,74
"2021-12-13",70,5,32,108,16,79
"2021-12-14",71,6,32,132,12,87
"2021-12-15",78,3,30,119,11,84
"2021-12-16",69,5,24,124,7,72
